,Word2,Frequency2
0,coronaviru,12
1,_,12
2,vaccin,9
3,moscow,4
4,would,3
5,presid,3
6,end,3
7,countri,3
8,announc,3
9,world,2
10,vladimir,2
11,v,2
12,unit,2
13,trump,2
14,thi,2
15,state,2
16,research,2
17,putin,2
18,promin,2
19,pandem,2
20,oxford,2
21,offici,2
22,mani,2
23,live,2
24,laboratori,2
25,inocul,2
26,india,2
27,german,2
28,first,2
29,experi,2
30,day,2
31,britain,2
32,brief,2
33,billion,2
34,berlin,2
35,yet,1
36,worst,1
37,worldwid,1
38,world_,1
39,work,1
40,word,1
41,without,1
42,well,1
43,week,1
44,watch,1
45,vital,1
46,updat,1
47,univers,1
48,tuesday,1
49,trial,1
50,tri,1
51,treat,1
52,though,1
53,tale,1
54,supposedli,1
55,sugari,1
56,stop,1
57,steel,1
58,stake,1
59,stag,1
60,sprint,1
61,spread,1
62,special,1
63,soon,1
64,sober,1
65,sidestep,1
66,serum,1
67,sell,1
68,secretari,1
69,seal,1
70,school,1
71,say,1
72,said,1
73,safeti,1
74,russian,1
75,russia,1
76,room,1
77,roll,1
78,rio,1
79,restrict,1
80,respon,1
81,reopen,1
82,read,1
83,rai,1
84,race,1
85,quebec,1
86,quarantin,1
87,put,1
88,pune,1
89,provinc,1
90,profit,1
91,priti,1
92,princ,1
93,prime,1
94,potenti,1
95,pot,1
96,possibl,1
97,pig,1
98,persuad,1
99,perhap,1
100,peopl,1
101,patel,1
102,partnership,1
103,parent,1
104,optim,1
105,notabl,1
106,new,1
107,nan,1
108,move,1
109,month,1
110,minist,1
111,middl,1
112,medic,1
113,may,1
114,maker,1
115,madonna,1
116,made,1
117,low,1
118,london,1
119,licen,1
120,latest,1
121,late,1
122,largest,1
123,king,1
124,kill,1
125,june,1
126,janeiro,1
127,institut,1
128,industri,1
129,increas,1
130,incom,1
131,includ,1
132,home,1
133,health,1
134,happen,1
135,guinea,1
136,great,1
137,global,1
138,fund,1
139,friday,1
140,form,1
141,follow,1
142,fli,1
143,firm,1
144,fight,1
145,fee,1
146,fear,1
147,fastest,1
148,fanfar,1
149,extrem,1
150,exclus,1
151,everyon,1
152,england,1
153,effect,1
154,earli,1
155,ea,1
156,drug,1
157,dose,1
158,discuss,1
159,develop,1
160,determin,1
161,decid,1
162,de,1
163,critic,1
164,crave,1
165,coverag,1
166,country_,1
167,countless,1
168,complet,1
169,cold,1
170,clinic,1
171,citizen,1
172,chip,1
173,children,1
174,chaotic,1
175,centuri,1
176,cautionari,1
177,caution,1
178,canadian,1
179,brussel,1
180,brought,1
181,british,1
182,brazil,1
183,boy,1
184,box,1
185,begin,1
186,becom,1
187,avail,1
188,author,1
189,attempt,1
190,assur,1
191,arriv,1
192,around,1
193,approv,1
194,apart,1
195,anxiou,1
196,alarm,1
197,administr,1
